name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
What's My Line?,Game show,United States,,02191,30,1950-02-02,1975-09-01
Bucho　Keiji(部長刑事),Drama,Japan,,02154,30,1958-10-06,2002-03-30
Santa Barbara,Soap opera,United States,,02137,60,1984-07-30,1993-01-15
7de Laan,Soap opera,South Africa,,02132,30,2000-01-012000,
Welcome to Newly Weds!(新婚さんいらつしゃい!),"Talk show, Varety show",Japan,,02063,30,1971-01-31,
Plus belle la vie,Soap opera,France,05,02055,23,2004-08-30,
106 &amp; Park,Music video,United States,,02054,120,2000-09-11,
The Daily Show,Comedy,United States,16,02045,22,1996-07-22,
Love Connection,Game show,United States,11,02000,30,1983-09-19,1994-07-01
Hotel Cæsar,Soap opera,Norway,27,02000,25,1998-10-24,
Tensai Quiz(天才クイズ),Game show,Japan,,01930,30,1967-07-06,2004-09-25
El Cor de la Ciutat,Soap opera,Spain,9,01912,27,2000-09-11,2009-12-23
Kyunki Saas Bhi Kabhi Bahu Thi,Soap opera,India,,01830,24,2000-07-06,2008-11-06
Plebania,Soap opera,Poland,12,01829,24,2000-10-05,2012-01-27
Late Night with David Letterman,Talk ShowVariety Show,United States,,01819,60,1982-02-01,1993-06-25
Password- CBS run,Game show,United States,,01756,30,1961-10-02,1967-05-22
Morangos com Açúcar,Soap operaTeen drama,Portugal,,01731,55,2003-08-30,
Somerset,Soap opera,United States,,01710,30,1970-03-30,1976-12-31
Super Sentai,Tokusatsu,Japan,34,01701,30,1975-04-05,
Kahaani Ghar Ghar Kii,Soap opera,India,,01700,24,2000-10-16,2008-10-09
Salatut elämät,Drama,Finland,,01679,22,1999-01-22,
Ulice,Soap opera,Czech Republic,,01700,22,2005-09-05,
Port Charles,Soap opera,United States,,01633, ,1997-06-02,2003-10-03
Na Wspólnej,Soap opera,Poland,08,01602,20,2003-01-23,
Doctors,Soap opera,United Kingdom,10,01601,30,2000-01-012000,
Bellbird,Soap opera,Australia,,01562, ,1967-08-28,1977-12-01
Samo Życie,Soap opera,Poland,09,01557,24,2002-02-12,2010-11-30
Pierwsza miłość,Soap opera,Poland,08,01502,45,2004-11-04,
Virginie,Teleroman,Canada,13,01496,30,1996-09-16,2010-12-16
Doraemon- First run,Anime,Japan,,01457, ,1973-04-01,1973-09-30
Doraemon- Second run,Anime,Japan,,01457, ,1979-04-02,2005-03-25
Doraemon- Current run,Anime,Japan,,01457, ,2005-04-15,
Kumkum - Pyara Sa Bandhan,Drama,India,,01450,22,2002-07-15,2009-03-13
Hoka Hoka Kazoku,Anime,Japan,,01428,5,1976-10-01,1982-03-31
Love is a Many Splendored Thing,Soap opera,United States,,01415,30,1967-09-18,1973-03-23
Kasautii Zindagii Kay,Drama,India,,01400,26,2001-10-29,2008-02-28
The Young Doctors,Soap opera,Australia,,01396,25,1976-11-08,1983-03-31
Nintama Rantarō,Anime,Japan,17,01338, ,1993-01-011993,
Capitol,Soap opera,United States,,01270,30,1982-03-29,1987-03-20
Dark Shadows,Soap opera,United States,,01225,30,1966-06-27,1971-04-02
Watatatow,Teen drama,Canada,13,01225,30,1991-09-17,2005-02-21
Number 96,Soap opera,Australia,,01218,30,1972-03-13,1977-08-11
Lindenstraße,Soap opera,Germany,,01221,30,1985-12-08,
Mara Clara,Soap opera,Philippines,-,01209,30,1992-06-22,
The Rosie O'Donnell Show,Talk show,United States,,01193,60,1996-06-10,2002-06-27
Kopi Kade,Soap opera,Sri Lanka,,01146,30,1987-04-01,
Mito Kōmon,Drama,Japan,37,01130, ,1969-08-04,
Richard &amp; Judy,Chat show,United Kingdom,,01129,60,2001-11-26,2008-08-22
A Kindred Spirit,Soap opera,Hong Kong,,01128,20,1995-05-15,1999-11-13
Złotopolscy,Soap opera,Poland,14,01121,23,1998-01-03,2010-12-23
Soul Train,Music Performance,United States,35,01117,60,1971-10-02,2006-03-25
Chiquititas,Telenovela,Argentina,8,01166,45,1995-08-07,2001-06-30
Chiquititas 2006,Telenovela,Argentina,8,01166,45,2006-04-06,2006-12-08
W11 - Wydział Śledczy,Docu-crime,Poland,14,01144,45,2004-09-06,
The Sullivans,Soap opera,Australia,,01114,30,1976-01-011976,1983-01-011983
Space Patrol,Science fiction,United States,5,01110,"15,30",1950-03-09,1955-02-26
Password- ABC run,Game show,United States,,01099,30,1971-04-05,1975-06-27
Soreike! Anpanman,Anime,Japan,,01080,30,1988-10-03,
A Country Practice,Soap opera,Australia,,01058,48,1981-01-011981,1993-01-011993
Deal or No Deal,Game show,Australia,,01043,30,2003-05-04,
Deal or No Deal,Game Show,United Kingdom,04,01039,30,2005-10-31,
The Ellen DeGeneres Show,Talk show,United States,,01010,60,2003-09-08,
Kkusum,Drama,India,05,01001,30,2001-05-14,2005-11-30
Who Wants to Be a Millionaire - Syndicated,Game showReality show,United States,,01000,30,2002-09-16,
Lo que Callamos las Mujeres, ,Mexico,,01000, ,2000-01-01,
Big Brother,Reality show,United Kingdom,21,01000,"35-100, usually 60",2000-07-14,
Shop 'til You Drop,Game show,United States,09,01000,30,1991-07-08,2005-05-27
Supermarket Sweep,Game show,United States,10,01000,30,1965-12-20,2003-05-23
WWE Raw,Action EntertainmentSports EntertainmentProfessional wrestling,United States,19,01002,"60, 120, 125, 180",1993-01-11,
Sons and Daughters,Soap opera,Australia,,00972,25,1981-01-011981,1987-01-011987
COPS,Documentary,United States,24,00971,30,1989-03-11,
Kamen Rider,Tokusatsu,Japan,21,00967,30,1971-04-03,
Detektywi,Docu-crime,Poland,10,00934,30,2005-11-11,
The Colbert Report,ComedySatireNews parody,United States,05,00930,22,2005-10-17,
M jak miłość,Soap opera,Poland,12,00913,60,2000-11-04,
Crown Court,Legal Drama,United Kingdom,11,00879,30,1972-10-11,1984-03-29
Zabranjena Ljubav,Soap opera,Croatia,,00805,30,2005-10-25,2008-11-03
Kahiin To Hoga,Drama,India,,00799,25,2003-09-08,2007-02-15
Doctor Who- Original series,Science fiction drama,United Kingdom,30,00753,"25, 45",1963-11-23,1989-12-06
Doctor Who- Revived series,Science fiction drama,United Kingdom,30,00753,"45, 60",2005-03-26,
Chibi Maruko-chan TV 2,Anime,Japan,,00793, ,1995-01-08,
"Mujer, Casos de la Vida Real",Soap opera,Mexico,,00780,25,1985-05-11,2007-01-012007
Yo soy Bea,Telenovela,Spain,,00773,60,2006-07-10,2009-08-16
Sunset Beach,Soap opera,United States,,00755,60,1997-01-06,1999-12-31
Barwy szczęścia,Soap opera,Poland,05,00750,25,2007-09-27,
Kasamh Se,Drama,India,,00745,24,2006-01-16,2009-03-12
Vänner och fiender,Soap opera,Sweden,,00720, ,1996-01-011996,2000-01-012000
C.I.D.,Police Thriller,India,14,00716,"60, 30",1997-01-21,
Pokémon,Anime,Japan,16,00746,22,1997-04-01,
Kaahin Kissii Roz,Soap operaThriller,India,,00715,715,2001-04-23,2004-09-23
Saturday Night Live,Comedy,United States,37,00703,90,1975-10-11,
Erotas,Soap operaDrama,Greece,03,00700,42,2005-09-08,2008-05-30
Caméra Café,Sitcom,France,,00700,7,2001-09-01,2003-12-01
Kesar,Drama,India,,00700,30,2004-04-19,2007-05-31
Prisoner,Soap opera,Australia,,00692,50,1979-01-011979,1986-01-011986
Casualty,Soap opera,United Kingdom,23,00688,50,1986-09-06,
Shagun,Drama,India,,00688,30,2001-01-012001,2004-01-012004
Crayon Shin-chan,Anime,Japan,,00685, ,1992-04-13,
Verano del '98,Telenovela,Argentina,03,00679, ,1998-01-26,2000-11-17
Late Night with Jimmy Fallon,Talk showVariety show,United States,04,00669,59,2009-03-02,
Vera Sto Dexi,Soap opera,Greece,03,00655,60,2004-01-012004,2007-01-012007
Chic-a-Go-Go,Music,United States,,00647,30,1996-05-01,
Verliebt in Berlin,Telenovela,Germany,02,00645,30,2005-02-28,2007-10-12
The Paul O'Grady Show,Chat showEntertainment,United Kingdom,09,00644,60,2004-10-11,
WWE Friday Night SmackDown,Action EntertainmentSports EntertainmentProfessional wrestling,United States,13,00634,120,1999-08-26,
Gunsmoke,Western,United States,20,00635,"30, 60",1955-09-10,1975-03-31
Sędzia Anna Maria wesołowska,Court show,Poland,12,00634,45,2006-03-06,2011-12-19
Case Closed/Detective Conan,Anime,Japan,21,00634,30,1996-01-08,
Texas,Soap opera,United States,,00617,60,1980-08-04,1982-12-31
Monday Night Football,Sports,United States,,00609,180+,1970-09-21,
Bright Promise,Soap opera,United States,,00605,30,1969-09-29,1972-03-31
Grange Hill,DramaSoap opera,United Kingdom,,00601,30,1978-02-08,2008-09-15
Lassie,Drama,United States,22,00588,30,1954-09-12,1973-03-24
Cop Shop,Soap opera,Australia,,00582,55,1977-01-011977,1984-01-011984
Double Dare- Original run,Children's game show,United States,,00547,23,1986-10-06,1993-02-01
Double Dare- Revival run,Children's game show,United States,,00547,23,2000-01-012000,2000-01-012000
Watch Mr. Wizard,Educational,United States,,00547,30,1951-01-011951,1972-01-011972
One Piece,Anime,Japan,14,00515,30,1999-10-20,
Temptation,Game show,Australia,04,00535,23,2005-05-30,2009-01-23
Schloss Einstein,Soap opera,Germany,10,00532,25,1998-09-01,
"Kapamilya, Deal or No Deal",Game show,Philippines,03,00516,30,2006-06-05,2009-05-27
A Flame in the Wind,Soap opera,United States,,00515,30,1964-12-28,1966-12-19
Peyton Place,Soap opera,United States,,00514,"30, 24",1964-09-15,1969-06-02
