name,genre,country,seasons,episode_count,episode_minutes,started_broadcasting,finished_broadcasting
The Andy Griffith Show,Sitcom,United States,08,00249,30,1960-10-03,1968-04-01
The Love Boat,Sitcom,United States,09,00249,60,1977-09-24,1986-05-24
WWE A.M. Raw,Action EntertainmentSports EntertainmentProfessional Wrestling,United States,,00249,60,2005-10-08,
Murphy Brown,Sitcom,United States,10,00247,30,1988-11-14,1998-05-18
The Dean Martin Show,VarietyComedy,United States,09,00245,60,1965-09-16,1974-05-24
Улицы разбитых фонарей,Criminal Drama,Russia,9,00244,48,1998-04-01,2008-10-16
Good Eats,Cooking show,United States,14,00244,21 Minutes 30 Seconds,1999-07-07,
7th Heaven,Family Drama,United States,11,00243,60,1996-08-26,2007-05-13
Baywatch,Drama,United States,11,00243,60,1989-09-22,2001-05-14
Survivor,Reality based Competition,United States,18,00241,60,2000-05-31,
Mundo de Fieras,Telenovela,Venezuela,01,00239, ,1991-01-011991,1991-01-011991
Welcome to the House,Sitcom,Hong Kong,,00239,20,2006-04-10,2007-03-10
Degrassi: The Next Generation,Teen Drama,Canada,10,00236,30,2001-10-14,
Friends,Sitcom,United States,10,00236,30,1994-09-22,2004-05-06
BrzydUla,Soap opera,Poland,02,00235,25,2008-10-06,2009-12-22
Leave It to Beaver,Sitcom,United States,06,00234,30,1957-10-04,1963-06-20
The Drew Carey Show,Sitcom,United States,09,00233,30,1995-09-13,2004-09-08
3-2-1 Contact,Children'sEducation,United States,,00233,30,1980-01-14,1988-11-18
CSI: Miami,Crime Drama,United States,10,00232,60,2002-09-23,2012-04-12
South Park,Animated Sitcom,United States,16,00230,30,1997-08-13,
Square One TV,Children'sEducation,United States,5,00230,30,1987-01-26,1992-11-06
CSI: Crime Scene Investigation,Drama,United States,011,00229,60,2000-10-06,
JAG,Drama,United States,10,00227,60,1995-09-23,2005-04-29
Falcon Crest,Soap opera,United States,09,00227,50,1981-12-04,1990-05-17
Melrose Place,Soap opera,United States,07,00227,60,1992-07-08,1999-05-24
Lokatorzy,Sitcom,Poland,06,00226,25,2000-02-06,2006-10-16
Friday Night with Jonathan Ross,Chat showComedy,United Kingdom,16,00224,60,2001-11-02,
Law &amp; Order: Special Victims Unit,Drama,United States,10,00224,60,1999-09-20,
The Real McCoys,Sitcom,United States,,00224,30,1957-10-03,1963-06-03
Yu-Gi-Oh! Duel Monsters,Anime,United States,05,00224,25,2001-09-29,2006-06-10
Lola...Érase una vez,Soap opera,Mexico,,00224,60,2007-02-26,2008-01-11
Petticoat Junction,Sitcom,United States,07,00222,30,1963-09-24,1970-04-04
Roseanne,Sitcom,United States,09,00222,30,1988-10-18,1997-05-21
Undressed,Teen DramaComedySoap opera,United States,06,00222,22,1999-07-26,2002-09-05
The Waltons,Family Drama,United States,09,00221,60,1972-09-14,1981-06-04
The Flying Doctors,Soap opera,Australia,,00221,55,1986-01-011986,1993-01-011993
Dynasty,Soap opera,United States,,00220,46,1981-01-12,1989-05-11
Whose Line Is It Anyway?,Improvisational Comedy,United States,08,00220,22,1998-08-08,2006-11-10
Smallville,ActionAdventureScience Fiction,United States,010,00217,60,2001-10-16,2011-05-13
Family Matters,Sitcom,United States,09,00215,30,1989-09-22,1998-07-17
Sąd rodzinny,Court show,Poland,08,00214,45,2008-03-04,2011-12-22
The Amazing Race,Reality game show,United States,18,00214,42,2001-09-05,
Stargate SG-1,Science Fiction,United StatesCanada,10,00214,60,1997-07-27,2007-03-13
Touched by an Angel,Drama,United States,09,00212,60,1994-09-21,2003-04-27
Alarm für Cobra 11   Die Autobahnpolizei,ActionCrime drama,Germany,16,00211,45,1996-03-12,
NCIS,Police procedural,United States,09,00210,60,2003-09-23,
Everybody Loves Raymond,Sitcom,United States,09,00210,30,1996-09-13,2005-05-16
Road Rules- First run,Reality,United States,13,00210,30,1995-07-19,2004-01-012004
Road RulesSecond run,Reality,United States,13,00210,30,2007-01-012007,2007-01-012007
All in the Family,Sitcom,United States,09,00210,30,1971-01-12,1979-04-08
The Facts of Life,Sitcom,United States,09,00209,30,1979-08-24,1988-05-07
Pop-up Video,Music video,United States,,00209,22,1996-10-27,2002-08-08
One Day at a Time,Sitcom,United States,09,00209,30,1975-12-16,1984-05-28
The Alan Titchmarsh Show,Chat show,United Kingdom,04,00207,60,2007-09-03,
The King of Queens,Sitcom,United States,09,00207,30,1998-09-21,2007-05-14
Fuego En La Sangre,TelenovelaDrama,Mexico,,00207,60,2008-01-21,2008-11-02
77 Sunset Strip,Drama,United States,06,00206,60,1958-10-10,1964-02-07
Salomé,Telenovela,Mexico,,00205, ,2001-01-012001,2002-01-012002
Mujer de Madera,Telenovela,Mexico,03,00205,60,2004-01-012004,2004-01-012004
WWE Velocity,Sports EntertainmentProfessional wrestling,United States,,00204,60,2002-05-25,2006-06-11
Home Improvement,Sitcom,United States,08,00204,30,1991-09-17,1999-05-25
7 vidas,Sitcom,Spain,,00204,"60, 90",1999-01-011999,2006-01-012006
Daleko od noszy,Sitcom,Poland,08,00204,30,2003-12-25,
Father Knows Best,Sitcom,United States,08,00203,30,1954-10-03,1960-05-23
Little House on the Prairie,Drama,United States,09,00203,60,1974-09-11,1983-03-21
The Outer Limits- Original series,Science Fiction,United States,09,00203,60,1963-09-16,1965-01-16
The Outer Limits- Revival series,Science Fiction,United States,09,00203,60,1995-03-26,2002-01-18
"Walker, Texas Ranger",Action,United States,09,00203,60,1993-04-21,2001-08-25
Never Mind The Buzzcocks,Comedy panel game,United Kingdom,22,00202,30,1996-11-12,
Alice,Sitcom,United States,09,00202,30,1976-08-31,1985-07-02
The X-Files,Science Fiction,United StatesCanada,09,00202,60,1993-09-10,2002-05-19
Ojamajo Doremi,Anime,Japan,,00201, ,1999-01-011999,2002-01-012002
The Cosby Show,Sitcom,United States,08,00201,30,1984-09-20,1992-04-30
Gin Tama,Anime,Japan,,00201,25,2006-04-04,2010-03-25
Mack &amp; Myer for Hire,Sitcom,United States,,00200,12,1963-01-011963,1965-01-011965
Saan Ka Man Naroroon,DramaRomance,Philippines,,00200,30,1999-04-05,2001-03-23
Coach,Sitcom,United States,09,00200,24,1989-02-28,1997-05-14
Código Postal,Telenovela,Mexico,,00200, ,2006-05-22,2007-02-23
Australia's Funniest Home Videos,Variety,Australia,18,00200,47,1990-03-29,
Sailor Moon,Anime,Japan,05,00200,30,1992-03-07,1997-02-08
That '70s Show,Sitcom,United States,08,00200,30,1998-08-23,2006-05-18
Beavis and Butt-head,Animated Sitcom,United States,07,00200,30,1993-03-08,1998-07-31
Behind the Music,Documentary,United States,,00200,"60, 90",1997-08-17,2006-06-12
Sara,Soap opera,Belgium,,00200,25,2007-09-25,2008-06-29
Deal or No Deal,Reality based Game show,United States,04,00199,60,2005-12-19,2009-05-18
Prosto w serce,Soap opera,Poland,02,00196,25,2011-01-03,2011-12-23
Who's the Boss,Sitcom,United States,08,00196,30,1984-09-20,1992-04-25
Law &amp; Order: Criminal Intent,Drama,United States,10,00195,60,2001-09-30,2011-06-26
Urusei Yatsura,Anime,Japan,,00195,30,1981-10-14,1986-03-19
Strange Paradise,Soap opera,Canada,,00195,30,1969-01-011969,1970-01-011970
Matlock,Drama,United States,09,00194,60,1986-09-23,1995-05-07
Mannix,Drama,United States,10,00194,60,1967-09-07,1975-08-27
Will and Grace,Sitcom,United States,08,00194,30,1998-09-21,2006-05-18
Night Court,Sitcom,United States,09,00193,30,1984-01-04,1992-05-31
Astro Boy,Anime,Japan,,00193, ,1963-01-01,1966-12-31
WWF Jakked,Sports EntertainmentProfessional Wrestling,United States,,00193,60,1998-09-04,2002-05-18
WWF Metal,Sports EntertainmentProfessional Wrestling,United States,,00193,60,1998-09-05,2002-05-19
24,DramaThrillerActionSerial,United States,08,00192,60,2001-11-06,
Full House,Sitcom,United States,08,00192,30,1987-09-22,1995-05-23
Majka,Soap opera,Poland,02,00190,25,2010-01-04,2010-12-23
Diff'rent Strokes,Sitcom,United States,08,00189,30,1978-11-03,1986-03-07
Canadian Idol,Reality Game Show,Canada,06,00188, ,2003-06-01,2008-01-012008
Adam i Ewa,Soap opera,Poland,01,00188,40,2000-09-30,2001-01-012001
One Tree Hill,Drama,United States,9,00187,60,2003-09-23,2012-04-04
Arthur,Children's television series,United StatesCanada,15,00185,30,1996-09-02,
Amigas y rivales,Telenovela,Mexico,,00185, ,2001-07-30,2002-05-10
Newhart,Sitcom,United States,08,00184,30,1982-10-25,1990-05-21
According to Jim,Sitcom,United States,08,00182,30,2001-10-03,2009-05-12
Life and Times,Documentary,Canada,,00182,60,1996-10-04,2007-06-22
Seinfeld,Sitcom,United States,09,00181,30,1989-07-05,1998-05-14
All That- First run,Comedy,United States,10,00181,30,1994-04-16,2000-11-04
All That- Second run,Comedy,United States,10,00181,30,2002-01-19,2005-10-22
Scrubs,ComedyDrama,United States,9,00181,30,2001-10-02,2010-03-17
I Love Lucy,Sitcom,United States,06,00180,30,1951-10-15,1957-05-06
Family Ties,Sitcom,United States,7,00180,30,1982-09-22,1989-05-14
The Golden Girls,Sitcom,United States,07,00180,30,1985-09-14,1992-05-09
Yu-Gi-Oh Duel Monsters GX,Anime,Japan,04,00180,25,2004-10-06,2008-03-28
Viza za budućnost,SitcomComedyVariety show,Bosnia and Herzegovina,,00180,45,2000-01-012000,2008-01-012008
Charmed,Drama,United States,08,00179,60,1998-10-07,2006-05-21
The Prince of Tennis,Anime,Japan,07,00178, ,2001-10-10,2005-03-30
Star Trek: The Next Generation,Science Fiction,United States,07,00178,60,1987-09-28,1994-05-23
Diagnosis: Murder,Drama,United States,08,00178,60,1993-10-29,2001-05-11
Laverne &amp; Shirley,Sitcom,United States,08,00178,30,1976-01-27,1983-05-10
Mi Gorda Bella,Soap opera,Venezuela,,00178,46,2002-11-20,2003-01-012003
Al Diablo con los Guapos,Telenovela,Mexico,,00176,60,2007-10-08,2008-06-06
Star Trek: Deep Space Nine,Science Fiction,United States,07,00176,60,1993-01-03,1999-06-02
Mula Sa Puso,DramaRomance,Philippines,,00175,30,1997-01-011997,1998-01-011998
Bolek i Lolek,Children's animated series,Poland,10,00174,"5, 10, 15",1963-01-011963,1986-01-011986
Soñadoras,Telenovela,Mexico,,00174,44,1998-01-011998,1998-01-011998
Kochaj mnie,Documentary,Poland,05,00173,25,2002-03-29,2007-03-26
The Bob Cummings Show,Sitcom,United States,05,00173,30,1955-01-07,1959-09-15
HaPijamot,Sitcom,Israel,07,00173,25,2003-07-01,
Mirmo Zibang!,Anime,Japan,,00172, ,2002-04-06,2005-09-27
Rugrats- First run,Animated Children's show,United States,12,00172,30,1991-08-11,1994-05-29
Rugrats- Second run,Animated Children's show,United States,12,00172,30,1996-12-06,2004-06-08
Star Trek: Voyager,Science Fiction,United States,07,00172,60,1995-01-16,2001-05-23
Three's Company,Sitcom,United States,08,00172,30,1977-03-15,1984-09-18
Girlfriends,SitcomComedyDrama,United States,08,00172,30,2000-09-11,2008-02-11
Wings,Sitcom,United States,08,00172,30,1990-04-19,1997-05-21
L.A. Law,Drama,United States,08,00172,60,1986-09-15,1994-05-19
Mission: Impossible,Drama,United States,07,00171,60,1966-09-17,1973-03-30
Destilando Amor,Soap Opera,Mexico,,00170,60,2007-01-22,2007-09-16
Venner og fiender,Soap opera,Sweden,,00170, ,1996-01-011996,2000-01-012000
Green Acres,Sitcom,United States,06,00170,30,1965-09-15,1971-04-27
Temptation,Game show,United States,01,00170,20 Minutes 17 Seconds,2007-09-10,2008-06-13
Empty Nest,Sitcom,United States,07,00170,30,1988-10-08,1995-06-17
Barney Miller,Sitcom,United States,08,00170,30,1975-01-23,1982-05-20
Betty la fea,Soap opera,Colombia,03,00169, ,1999-10-25,2001-01-012001
Mañana es para siempre,Soap Opera,Mexico,,00169,45,2008-10-20,2009-06-14
Hogan's Heroes,Sitcom,United States,06,00168,30,1965-09-17,1971-07-04
The Practice,Legal drama,United States,08,00168,60,1997-03-04,2004-05-16
The Mary Tyler Moore Show,Sitcom,United States,07,00168,30,1970-09-19,1977-03-19
InuYasha,Anime,Japan,06,00167, ,2000-10-16,2004-09-13
The Flintstones,Animated Sitcom,United States,06,00166,30,1960-09-30,1966-04-01
Growing Pains,Sitcom,United States,07,00166,30,1985-09-24,1992-04-25
Daniel Boone,Adventure,United States,06,00165,60,1964-09-24,1970-09-10
Family Guy,Animated Sitcom,United States,09,00165,23,1999-01-31,
HaShminiya,Science fictionDrama,Israel,03,00165,"25, 40 45",2005-06-05,2007-02-02
SpongeBob SquarePants,AnimatedChildren's show,United States,8,00165,30,1999-05-01,
Khwaish,Drama,India,01,00164,30,2007-07-16,2008-04-24
Mad About You,Sitcom,United States,07,00164,30,1992-09-23,1999-05-24
Designing Women,Sitcom,United States,07,00163,30,1986-09-29,1993-05-24
"Sabrina, the Teenage Witch",Sitcom,United States,07,00163,30,1996-09-27,2003-04-24
Criminal Minds,Police procedural,United States,07,00162,60,2005-09-22,
La Viuda de Blanco- Original series,Telenovela,Colombia,,00162, ,1996-01-011996,1996-01-011996
La Viuda de Blanco- Remake,Telenovela,Colombia,,00162, ,2006-07-25,2007-03-02
"Magnum, P.I.",Drama,United States,08,00162,60,1980-12-11,1988-02-24
Aashirwad,Soap opera,India,,00161,23,1998-01-011998,1999-01-011999
Ranma ½,Anime,Japan,07,00161, ,1989-04-15,1992-09-25
Mi pequeña Soledad,Telenovela,Mexico,,00160, ,1990-01-011990,1990-01-011990
Kuchh Is Tara,Soap opera,India,01,00160,22,2007-11-26,2008-08-28
Step by Step,Family sitcom,United States,07,00160,23,1991-09-20,1998-06-26
Eldorado,Soap opera,United Kingdom,01,00159,30,1992-07-06,1993-07-09
The Dick Van Dyke Show,Sitcom,United States,05,00158,30,1961-10-03,1966-06-01
Benson,Sitcom,United States,07,00158,30,1979-09-13,1986-04-19
Fantasy Island,Drama,United States,07,00158,60,1978-01-14,1984-05-19
Boy Meets World,Sitcom,United States,07,00157,30,1993-09-10,2000-05-05
Bachelor Father,Sitcom,United States,05,00157,30,1957-09-15,1965-09-25
December Bride,Sitcom,United States,05,00157,30,1954-10-04,1959-05-07
Figure It Out,Game show,United States,04,00156,22,1997-07-07,1999-12-12
Simon and Simon,Drama,United States,08,00156,60,1981-11-24,1989-01-21
The Pyramid Game- Original run,Game show,United Kingdom,06,00156,30,1981-09-05,1990-04-06
The Pyramid Game- Revival run,Game show,United Kingdom,06,00156,30,2007-05-07,2007-06-15
Autumn Affair,Soap opera,Australia,01,00156,15,1958-10-24,1959-01-011959
The Lucy Show,Sitcom,United States,06,00156,30,1962-10-01,1968-03-11
The Twilight Zone- Original series,Science Fiction,United States,05,00156,30 or 60,1959-10-02,1964-06-19
The West Wing,Drama,United States,07,00156,60,1999-09-22,2006-05-14
MariMar,DramaRomance,PhilippinesMexico,,00155,30-45,2007-08-13,2008-03-14
Lupin III Part II,Anime,Japan,,00155,25,1977-10-03,1980-10-06
They Think It's All Over,Comedy panel game,United Kingdom,19,00154,30,1995-09-14,2006-06-09
Hazel,Sitcom,United States,05,00154,26,1961-09-28,1966-09-05
Ben Casey,Drama,United States,06,00153,60,1961-10-02,1966-03-21
Phua Chu Kang,Sitcom,Singapore,,00153,30,1997-09-25,2007-02-11
Gilmore Girls,ComedyDrama,United States,07,00153,41,2000-10-05,2007-05-15
Dragon Ball,Anime,Japan,,00153,25,1986-02-26,1989-04-12
Malcolm in the Middle,Sitcom,United States,07,00151,30,2000-01-09,2006-05-14
Sąsiedzi,Sitcom,Poland,06,00151,25,2003-04-12,2008-02-23
"Trapper John, M.D.",Drama,United States,07,00151,30,1979-09-23,1986-09-04
Robot Wars,Game show,United Kingdom,12,00151,"30, 45, 60",1998-01-16,2004-04-24
Czułość i kłamstwa,Soap opera,Poland,01,00150,30,1999-11-02,2000-01-012000
"Gomer Pyle, USMC",Sitcom,United States,05,00150,30,1964-09-25,1969-05-02
Webster,Sitcom,United States,06,00150,30,1983-09-13,1989-03-24
Perfect Strangers,Sitcom,United States,08,00150,30,1986-03-25,1993-08-06
"Dr. Quinn, Medicine Woman",Drama,United States,06,00150,60,1993-01-01,1998-05-16
Zatch Bell!,Anime,Japan,,00150,25,2003-04-06,2006-03-26
